Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Subflow Fwd Bytes,Subflow Bwd Bytes,Active Mean,Active Std,Idle Mean,Idle Std,Label,Traffic Type,Cluster
1414.0,1.0,1.0,0.0,0.0,0.0,1414.4271570014146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1414.0,1.0,1.0,0.0,0.0,0.0,1414.4271570014146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1415.0,1.0,1.0,0.0,0.0,0.0,1413.427561837456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1415.0,1.0,1.0,0.0,0.0,0.0,1413.427561837456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1417.0,2.0,0.0,0.0,0.0,0.0,1411.4326040931544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1407.0,1.0,1.0,0.0,0.0,0.0,1421.4641080312722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1407.0,1.0,1.0,0.0,0.0,0.0,1421.4641080312722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1406.0,2.0,0.0,0.0,0.0,0.0,1422.4751066856331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Bruteforce,0
1405.0,2.0,0.0,0.0,0.0,0.0,1423.487544483986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1404.0,2.0,0.0,0.0,0.0,0.0,1424.5014245014245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1425.0,1.0,1.0,0.0,0.0,0.0,1403.5087719298244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Bruteforce,0
1403.0,1.0,1.0,0.0,0.0,0.0,1425.5167498218104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1403.0,2.0,0.0,0.0,0.0,0.0,1425.5167498218104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1426.0,2.0,0.0,0.0,0.0,0.0,1402.5245441795232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Bruteforce,0
1402.0,2.0,0.0,0.0,0.0,0.0,1426.5335235378031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1427.0,1.0,1.0,0.0,0.0,0.0,1401.541695865452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1400.0,1.0,1.0,0.0,0.0,0.0,1428.571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1400.0,2.0,0.0,0.0,0.0,0.0,1428.571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1399.0,1.0,1.0,0.0,0.0,0.0,1429.592566118656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1399.0,2.0,0.0,0.0,0.0,0.0,1429.592566118656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1431.0,1.0,1.0,0.0,0.0,0.0,1397.6240391334732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1431.0,1.0,1.0,0.0,0.0,0.0,1397.6240391334732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1436.0,1.0,1.0,0.0,0.0,0.0,1392.757660167131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Bruteforce,0
1436.0,1.0,1.0,0.0,0.0,0.0,1392.757660167131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1392.0,1.0,1.0,0.0,0.0,0.0,1436.7816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1392.0,1.0,1.0,0.0,0.0,0.0,1436.7816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1392.0,1.0,1.0,0.0,0.0,0.0,1436.7816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1392.0,2.0,0.0,0.0,0.0,0.0,1436.7816091954023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1391.0,1.0,1.0,0.0,0.0,0.0,1437.8145219266714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1391.0,2.0,0.0,0.0,0.0,0.0,1437.8145219266714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1439.0,1.0,1.0,0.0,0.0,0.0,1389.8540653231412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1389.0,1.0,1.0,0.0,0.0,0.0,1439.8848092152627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,0
1388.0,2.0,0.0,0.0,0.0,0.0,1440.922190201729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
1388.0,2.0,0.0,0.0,0.0,0.0,1440.922190201729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,0
